time,value
2024-02-14T17:54:35.133200226Z,"'Temperature = 18.50  Humidity = 79.00  Air Quality = 124"
2024-02-14T17:54:35.837123002Z,"'Temperature = 19.00  Humidity = 84.00  Air Quality = 123"
2024-02-14T17:54:36.636999735Z,"'Temperature = 19.00  Humidity = 84.00  Air Quality = 124"
2024-02-14T17:54:37.356885872Z,"'Temperature = 19.00  Humidity = 84.00  Air Quality = 123"
2024-02-14T17:54:38.072730696Z,"'Temperature = 19.80  Humidity = 87.00  Air Quality = 124"
2024-02-14T17:54:38.777112627Z,"'Temperature = 19.80  Humidity = 87.00  Air Quality = 123"
2024-02-14T17:54:39.506890864Z,"'Temperature = 19.80  Humidity = 87.00  Air Quality = 124"
2024-02-14T17:54:40.287009402Z,"'Temperature = 20.30  Humidity = 89.00  Air Quality = 124"
2024-02-14T17:54:40.997328932Z,"'Temperature = 20.30  Humidity = 89.00  Air Quality = 123"
2024-02-14T17:54:41.686930873Z,"'Temperature = 20.30  Humidity = 89.00  Air Quality = 124"
2024-02-14T17:54:42.40206586Z,"'Temperature = 21.00  Humidity = 89.00  Air Quality = 123"
2024-02-14T17:54:43.116935028Z,"'Temperature = 21.00  Humidity = 89.00  Air Quality = 124"
2024-02-14T17:54:43.827152777Z,"'Temperature = 21.00  Humidity = 89.00  Air Quality = 123"
2024-02-14T17:54:44.521865733Z,"'Temperature = 21.40  Humidity = 89.00  Air Quality = 124"
2024-02-14T17:54:45.292013961Z,"'Temperature = 21.40  Humidity = 89.00  Air Quality = 123"
2024-02-14T17:54:46.237092532Z,"'Temperature = 21.40  Humidity = 89.00  Air Quality = 124"
2024-02-14T17:54:47.156817391Z,"'Temperature = 22.20  Humidity = 90.00  Air Quality = 124"
2024-02-14T17:54:48.716946901Z,"'Temperature = 22.20  Humidity = 90.00  Air Quality = 123"
2024-02-14T17:54:49.067138097Z,"'Temperature = 22.60  Humidity = 91.00  Air Quality = 124"
2024-02-14T17:54:49.782194902Z,"'Temperature = 22.60  Humidity = 91.00  Air Quality = 140"
2024-02-14T17:54:50.467006059Z,"'Temperature = 22.60  Humidity = 91.00  Air Quality = 125"
2024-02-14T17:54:51.577121262Z,"'Temperature = 23.40  Humidity = 92.00  Air Quality = 166"
2024-02-14T17:54:52.286994419Z,"'Temperature = 23.40  Humidity = 92.00  Air Quality = 161"
2024-02-14T17:54:52.982103263Z,"'Temperature = 23.40  Humidity = 92.00  Air Quality = 158"
2024-02-14T17:54:53.722044894Z,"'Temperature = 23.80  Humidity = 92.00  Air Quality = 151"
2024-02-14T17:54:54.442116696Z,"'Temperature = 23.80  Humidity = 92.00  Air Quality = 163"
2024-02-14T17:54:55.112309561Z,"'Temperature = 23.80  Humidity = 92.00  Air Quality = 161"
2024-02-14T17:54:55.757076068Z,"'Temperature = 24.10  Humidity = 93.00  Air Quality = 159"
2024-02-14T17:54:56.477108545Z,"'Temperature = 24.10  Humidity = 93.00  Air Quality = 172"
2024-02-14T17:54:57.252132396Z,"'Temperature = 24.10  Humidity = 93.00  Air Quality = 171"
2024-02-14T17:54:57.997132254Z,"'Temperature = 24.10  Humidity = 93.00  Air Quality = 169"
2024-02-14T17:54:58.706841657Z,"'Temperature = 24.10  Humidity = 93.00  Air Quality = 166"
2024-02-14T17:54:59.427042666Z,"'Temperature = 24.10  Humidity = 93.00  Air Quality = 165"
